close_date,open,high,low,close,volume,bull_7_0.10,bear_7_0.10,bull_7_0.15,bear_7_0.15,bull_7_0.20,bear_7_0.20,bull_7_0.25,bear_7_0.25,bull_8_0.10,bear_8_0.10,bull_8_0.15,bear_8_0.15,bull_8_0.20,bear_8_0.20,bull_8_0.25,bear_8_0.25,bull_9_0.10,bear_9_0.10,bull_9_0.15,bear_9_0.15,bull_9_0.20,bear_9_0.20,bull_9_0.25,bear_9_0.25,bull_10_0.10,bear_10_0.10,bull_10_0.15,bear_10_0.15,bull_10_0.20,bear_10_0.20,bull_10_0.25,bear_10_0.25
2025-02-24,96258.0,96500.0,78258.52,94270.0,373604.39736,58.8344,25.0678,55.0972,21.154,51.5173,17.2292,48.0848,13.4064,69.9235,15.2873,65.8979,11.7619,61.7006,8.6614,57.5053,6.7052,85.2232,5.6892,82.2754,4.8016,79.2026,4.0933,75.9966,3.4508,93.3138,3.0695,91.1806,2.5322,88.325,2.0549,85.0093,1.6281
2025-03-03,94269.99,94416.46,80000.0,80734.37,284471.65101,18.9615,73.3099,17.4592,70.7584,16.0593,68.066,14.7515,65.1841,38.1801,51.7496,35.8775,49.0786,33.7752,46.362,31.7703,43.7082,47.1121,42.3691,44.4945,39.9732,41.9036,37.7042,39.3391,35.5394,61.6946,29.3302,58.9184,27.465,55.9747,25.7143,52.9382,24.0678
2025-03-10,80734.48,85309.71,76606.0,82574.53,211663.09876,0.0,99.1538,0.0,98.3375,0.0,97.4326,0.0,96.3125,16.8488,75.6892,15.3882,73.5276,14.2585,71.1059,13.2086,68.2541,34.4314,56.6624,32.4473,54.208,30.5349,51.7695,28.6901,49.3572,42.6962,47.3172,40.1765,44.9694,37.7417,42.6825,35.3683,40.4541
2025-03-17,82574.52,87453.67,81134.66,86082.5,110906.17448,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.884,0.3747,96.5365,0.0,95.5373,0.0,94.1185,0.0,91.7064,18.7412,73.0888,17.1704,70.3062,15.6995,67.4237,14.3192,64.4819,35.684,54.7327,33.5312,52.2812,31.5548,49.8189,29.6928,47.3459
2025-03-24,86082.5,88765.43,81565.0,82389.99,137009.32282,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.9001,0.0,100.0,0.0,100.0,0.0,99.7077,0.0,98.5116,2.1999,93.6094,1.6385,91.3988,1.1257,88.9728,0.6553,86.4033,19.5881,71.4394,17.9054,68.9454,16.5095,66.3685,15.2555,63.7043
2025-03-31,82390.0,88500.0,77153.83,78430.0,178247.49297,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.9177,0.0,100.0,0.0,100.0,0.0,99.7968,0.0,99.3346,0.0,98.7866,0.0,97.5236,0.0,96.0727,0.0,94.4993,3.8275,89.8305,2.9701,87.9048,2.4334,85.8604,2.0071,83.6862
2025-04-07,78430.0,86100.0,74508.0,83760.0,300064.17057,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.3455,0.0,100.0,0.0,100.0,0.0,99.7984,0.0,99.345,0.0,99.6366,0.0,98.92,0.0,98.0376,0.0,97.0522,0.437,95.2401,0.0734,93.8098,0.0,92.2491,0.0,90.539
2025-04-14,83760.0,86496.42,83111.64,85179.24,108454.4036,0.1808,98.2375,0.0,97.7271,0.0,97.1537,0.0,95.8875,0.0,99.1478,0.0,98.4473,0.0,97.6645,0.0,96.7837,0.0,99.616,0.0,98.4338,0.0,97.1318,0.0,95.6912,0.0,97.4095,0.0,96.4364,0.0,94.5988,0.0,92.5959
2025-04-21,85179.24,95758.04,85144.76,93749.3,170625.92469,19.5417,72.1125,17.9267,69.5525,16.5649,66.7491,15.3104,63.4669,12.6418,82.3024,11.7227,80.5211,10.8727,78.5969,10.0844,76.512,11.034,84.4877,10.137,82.6498,9.3079,80.668,8.5392,78.5248,10.256,84.2661,9.3243,82.5595,8.4659,80.2592,7.6723,77.7985
2025-04-28,93749.29,97895.68,92800.01,94277.62,113820.08215,38.3836,49.0835,35.6123,45.5964,33.0442,41.9481,30.6122,38.2927,27.2255,62.8398,25.2001,59.8254,23.3048,56.6409,21.5274,53.2714,19.3494,73.6474,17.8698,71.3153,16.4785,68.8607,15.168,66.2738,17.6971,75.3039,16.2204,73.21,14.8332,70.6926,13.5275,68.0368
