date,7_0.10,7_0.15,7_0.20,7_0.25,8_0.10,8_0.15,8_0.20,8_0.25,9_0.10,9_0.15,9_0.20,9_0.25,10_0.10,10_0.15,10_0.20,10_0.25
2022-09-05,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2022-09-12,32,32,32,32,32,32,32,32,16,16,16,16,16,16,16,16
2022-09-19,32,32,32,32,32,32,32,32,32,32,32,32,16,16,16,16
2022-09-26,32,96,96,96,32,32,32,32,32,32,32,32,16,0,0,0
2022-10-03,16,16,16,16,96,96,96,96,32,32,32,32,0,0,0,0
2022-10-10,16,16,16,16,16,16,16,16,96,96,96,96,0,0,0,0
2022-10-17,16,16,16,16,16,16,16,16,0,0,16,16,0,0,0,0
2022-10-24,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
2022-10-31,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2022-11-07,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2022-11-14,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2022-11-21,32,32,32,32,32,32,32,32,16,16,16,16,16,16,16,16
2022-11-28,32,48,48,48,32,48,48,48,16,16,16,16,16,16,16,16
2022-12-05,32,32,32,32,48,48,48,48,16,16,16,16,16,16,16,16
2022-12-12,32,32,32,32,32,32,32,32,48,48,48,48,16,16,16,16
2022-12-19,96,96,96,96,32,32,32,32,32,32,32,48,16,16,16,16
2022-12-26,0,0,0,0,96,96,96,96,32,32,32,32,32,32,32,32
2023-01-02,17,16,16,16,0,0,16,16,96,96,96,96,32,32,32,32
2023-01-09,20,21,21,21,17,17,17,17,17,17,17,17,16,16,16,16
2023-01-16,16,16,16,16,20,20,20,20,20,20,20,20,16,16,16,16
2023-01-23,16,16,16,16,16,16,16,16,16,16,16,16,20,20,20,20
2023-01-30,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2023-02-06,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2023-02-13,144,144,144,144,16,16,16,16,16,16,16,16,16,16,16,16
2023-02-20,0,0,0,0,16,16,144,144,16,16,16,16,16,16,16,16
2023-02-27,32,32,32,32,144,144,0,0,16,16,16,16,16,16,16,16
2023-03-06,34,34,34,34,34,34,32,32,144,144,144,176,16,16,16,144
2023-03-13,16,16,16,16,16,16,0,0,0,0,0,0,144,144,144,0
2023-03-20,16,16,16,16,32,32,32,32,0,0,0,0,0,0,0,0
2023-03-27,16,16,16,16,16,16,0,0,32,32,32,32,32,32,32,32
2023-04-03,32,32,32,32,16,16,0,0,0,0,0,0,32,32,32,32
2023-04-10,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0
2023-04-17,16,48,48,48,32,32,32,32,32,32,32,32,32,32,32,32
2023-04-24,144,144,144,144,16,16,0,0,0,0,0,0,32,32,32,32
2023-05-01,32,32,32,32,144,144,0,0,0,0,0,0,32,32,32,32
2023-05-08,34,34,34,34,34,34,34,34,34,34,34,34,34,32,32,32
2023-05-15,32,32,32,32,32,32,32,32,32,32,32,32,32,34,34,34
2023-05-22,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2023-05-29,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2023-06-05,40,40,40,40,32,32,32,32,32,32,32,32,32,32,32,32
2023-06-12,32,32,32,32,40,40,40,40,32,32,32,32,32,32,32,32
2023-06-19,16,16,16,16,20,20,20,20,16,16,16,16,32,32,32,32
2023-06-26,20,20,20,20,16,16,16,16,16,16,16,16,16,16,16,16
2023-07-03,16,16,16,16,16,16,16,16,16,16,16,16,32,32,32,32
2023-07-10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2023-07-17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2023-07-24,16,16,16,16,16,16,16,16,32,32,32,32,16,16,16,16
2023-07-31,16,16,16,16,16,16,16,16,16,16,16,16,32,32,32,32
2023-08-07,32,32,32,32,16,144,144,144,16,16,16,16,16,16,16,16
2023-08-14,32,32,40,40,32,34,34,34,32,32,32,32,32,32,32,32
2023-08-21,40,40,32,32,40,40,40,40,32,32,32,32,32,32,32,32
2023-08-28,32,32,32,32,32,32,32,32,40,40,40,40,32,32,32,32
2023-09-04,96,96,96,96,32,32,32,32,32,32,32,32,40,40,40,40
2023-09-11,0,0,0,0,96,96,96,96,32,32,32,32,32,32,32,32
2023-09-18,0,0,0,0,0,0,0,0,96,96,96,96,32,32,32,32
2023-09-25,17,17,17,17,17,17,17,17,17,17,17,17,32,32,32,32
2023-10-02,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2023-10-09,16,16,16,16,16,16,16,16,32,32,32,32,32,32,32,32
2023-10-16,20,20,20,20,16,16,16,16,16,16,16,16,16,16,16,16
2023-10-23,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20
2023-10-30,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2023-11-06,16,144,144,144,16,16,16,16,16,16,16,16,16,16,16,16
2023-11-13,16,0,0,0,16,144,144,144,16,16,16,16,16,16,16,16
2023-11-20,16,0,0,0,16,0,0,0,16,16,144,144,16,16,16,16
2023-11-27,144,0,0,0,16,0,0,0,16,16,0,0,16,16,144,144
2023-12-04,0,0,0,0,144,0,0,0,16,16,0,0,16,0,0,0
2023-12-11,0,0,0,0,0,0,0,0,144,144,0,0,16,0,0,0
2023-12-18,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0
2023-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-08,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-15,0,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-22,0,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-29,0,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-08,0,0,0,32,0,0,0,32,0,0,0,0,0,0,0,0
2024-04-15,32,32,32,32,0,0,0,32,0,0,0,32,0,0,0,0
2024-04-22,34,34,34,34,34,34,34,34,34,34,32,32,32,32,32,32
2024-04-29,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2024-05-06,32,32,32,32,32,32,32,32,32,32,34,34,34,34,34,34
2024-05-13,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2024-05-20,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2024-05-27,16,16,16,16,32,32,32,32,32,32,32,32,32,32,32,32
2024-06-03,16,16,16,16,16,16,16,16,32,32,32,32,32,32,32,32
